Title,Profile,Date,Rating,ProductSize,Verified_Purchase,Review
Fragile and no one repairs,Evan Tracey,"May 27, 2021",1.0,,,"So neat phone,  screen breaks after 3 weeks.  come to find out no one fixes these.  One place was 30 miles and I live in a large east coast city.  Motorla wanted more than the phone cost to repair.  Total joke.  Dont buy unless you want to keep in bubble wrap."
"Good battery life, nice screen, works well sounds good",MB in the OC,"May 26, 2021",5.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,"The fingerprint reader works better than the one on the stylus 2020.  The cameras work well, love the 2x optical camera.  This has a premium phone feel at an affordable price point.  It’s not “flagship” but the user experience is close, and it is much less expensive."
Phone functions,Jose coronado,"May 26, 2021",3.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,"Great working phone my only issues is that the screen is a little clumsy as in you'll accidentally swipe back to previous page since the ""back button"" is you swiping either  corner of the screen. Another issue is when you watch a video on your phone sideways your fingers will be touching the edge of the screen so when you want to fast forward or reverse it doesn't always want to until you make sure your fingers aren't accidentally touching the screen. Other than that it's a decent phone. 5G still sucks in most places though."
I love Motorola,Patricia Brittingham,"May 25, 2021",5.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,"My favorite phones have always been Motorola's, so I'm partial. The primary reason I like them is because I'm not gentle with my phones, they get tossed onto the table and dropped frequently and Motorola's can take a beatingThe only complaints that I have with the Edge is night shots with the camera suck and finding a decent case for it was a bit of a challenge. Battery life isn't anything like what the Moto Z Play had (I would only have to charge that phone once or twice a week). Other than that, I love it."
"I wouldn't recommend this phone, because of the poor design of the edges",Amazon Customer,"May 24, 2021",1.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,"I loved the phone, but I didn't like the fact that the edges on phone aren't protected. If phone were to be droped it would surely crack. I Love Motorola phones, but they should of just kept the original phone edges on this one. I had problems with the slot for the sim card as well. It wouldn't open🥺"
Failed Efforts. Disaster of a phone,vq35de,"May 24, 2021",2.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,"1. Body: Sleek and tall. Premium look. Glossy back a little prone to smudges but overall an impressive looking device2. Screen: Large. Thin bezels. Crisp. Bright colors. A bit too reflective in the sun even at max brightness. This is where I struggled a bit with the viewing angle. No matter how I looked at it it was too bright and shiny from the sun's reflection3: Buttons and misc: Power and volume buttons to the right, easily reachable. Charging and audio outlet at the bottom. Fast charging works beautifully. Glad they kept the outlet for headphone jack4: Speakers: Dual. Volume level does go up quite a but but also comes with a fair bit of distortion at max volume5: Processor: Snappy. Refresh rate is ultra fast and smooth. Highly impressed BUT the phone had a very high number of freezes on Android 10. It would take it 15-20 seconds and then resume normal function. Haven't noticed that on 11 but then again it's only been a few days since I updated6: Camera: No the best. Decent pictures but autofocus is constantly trying to adjust which can be frustrating. Fair bit of noise on zoom. GCam installed while on 10 fixed the camera issue7: Battery: Mediocre. Having a big battery is meaningless if the internals eat it up too fast. Due to the settings i selected, phone woke up every few seconds all by its own. ""Keep phone on longer while looking at it"" feature was the worst because it kept the phone on the whole time even when I WASN'T looking at it. All these moto features and upgrades didn't do the battery any favors8: Apps and features: This is where the phone's shortcomings were the biggest. Screen casting is NOT possible unless it's chromecast which is such a disappointment. My older Samsung and LG phones didn't do such atrocity. A constant notifications from moto to do this and that to the phone was no less annoying. Bluetooth worked fine on 10 but it has been a disaster since moving to 11. Phone only connects to one of the three things it was already connected to before. Screen fingerprint reader doesn't always work perfectly and that part of the touchscreen doesn't work while on homescreen. No wireless charging and edge display is very prone to accidental touches.All in all I feel like I paid $400 too much for this phone."
Great phone so far.,Amazon Customer,"May 23, 2021",5.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,On Verizon and had been working great so far.
Could Have Been Great,Sal Seminara,"May 21, 2021",3.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,"The phone has a nice popular form factor with sharp screen and good battery life.  The problems with the phone come when you try and mimic the functionality of your old phone, Android 11 cant hold a candle to Android 9 but this phone supports 5G so I'm kind of stuck having to use it as broadband has evolved.  If Google persists in emulating Microsoft in diminishing functionality and ease of use, we will all be using Apple phones soon."
Nostalgia,Ismail,"May 20, 2021",5.0,Style: RAZR 5GColor: Liquid Mercury,Verified Purchase,Nostalgia. I love it
Good,Yuxiang zheng,"May 17, 2021",5.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,🤝👍🏻
Carrier matching,dan,"May 11, 2021",4.0,Style: RAZR 5GColor: Polished Graphite,Verified Purchase,"The phone overall is great, however if it was matched up to the carrier that I use then all the carrier applications would transfer much smoother and work better."
Doesn't do anything well.,SkekTek,"May 11, 2021",2.0,,,"The good:It's an old school style flip phone with a folding screen.It's small (when folded).I would also include that it provides the tactile joy of flipping the phone closed to hang up on someone but that doesn't work on my phone (yes, it's enabled in the Phone settings).The bad:This thing is so expensive that you have to add a case to keep your investment safe which doubles the bulk and negates one of the few good things this phone had going for it.Marginal battery life. With lite usage you can make it through the day.The touchscreen isn't very sensitive. You have to press pretty hard and even then I find that it doesn't always register - it makes texting a frustrating experience.The ugly:The screen stops responding often - especially when plugged in. Frequently I have to turn the screen on and off again.'Flip phone camera quality' - the camera doesn't take very good pictures. It responds slowly and if you don't hold it absolutely still you'll end up with a blurry photo. Also I can't seem to turn off auto flash - even in 'manual' mode the phone will randomly add flash (which adds to the already lengthy time required to take a picture).Overall:For a premium price you're getting a half baked product. I don't mind being cut by bleeding edge technology but this thing needs to go back in the oven for a while longer."
It's been a couple of months since I shipped this item back and have had zero response or refund,Ansy emmanuel jean baptiste,"May 10, 2021",2.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,It's been a couple of months since I shipped this item back and have had zero response or refund
Folding phones are totally cool!,P. Schneider,"May 10, 2021",5.0,Style: RAZR 5GColor: Polished Graphite,Verified Purchase,This is the coolest smartphone. I love folding tech. It’s kitchy.
Bad screen after a few months,Amazon Customer,"May 9, 2021",1.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,"Your browser does not support HTML5 video.
        


   This worked flawlessly for several months, the screen started to display a bleeding and warping effect with prolonged use, and would go away if it was given a break. It got worse over time, and the breaks were less effective, over time. Now it's at a point where use for more than a few minutes at a time makes it unusable. Until this issue started, it was an amazing product. Apparently it's an extremely common issue with this model"
The Motorola edge is a good phone.,Amazon Customer,"May 8, 2021",4.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,Love the Motorola edge..Dislike is battery don't last but overall good phone . Need the android update 11.
love this phone,marlan thompson,"May 8, 2021",5.0,Style: RAZR 5GColor: Liquid Mercury,Verified Purchase,"Moto does it again....all the features you would expect in a smart device but folds in half .  Reminds me of the now retro Razr that I liked years ago.  I can slip it in my shirt pocket and go.  A few things I enjoy are making and receiving phone calls,  text, IM, email  and so much more all without opening the device.  The front screen capabilities are wonderful.  Camera and battery life are a great bonus as well.  Thanks Motorola it is a head turner as well.  Plus the grand kids like that I can bend glass.  I enjoy carrying a phone again..!!"
Love hate Relationship.,Raviken,"May 8, 2021",5.0,Style: RAZR 5GColor: Polished Graphite,Verified Purchase,"It's a flip phone with the old Motorola look. It's great, but beyond that, I find that the specs for the phone are underwhelming, the gps tracking is a a hit and miss...the clamshell design naturally protects the  main screen from scratches which is great. I can't say the same for the outer shell as it easily scratches.But it's a flip phone.."
"Design is to admire, but hinge is too noisy",Mr B,"May 5, 2021",3.0,Style: RAZR 5GColor: Liquid Mercury,Verified Purchase,"Nice phone, but creaks when opening and closing. Called Moto, no acceptable answer, had to return it to amazon. Re purchased it hoping to get a quiet unit, but sadly it creaks even louder than the first one. Lovely..."
es lo que esperaba,Humberto Olmos,"May 3, 2021",5.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,excelente producto y muy rápida entrega
great phone and fantastic camera,nigel,"May 2, 2021",5.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,great phone and fantastic camera
Motorola what happened,ALLAN,"May 2, 2021",1.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,I am not at all impressed the camera is decent but the phone lags badly I am not sure if I received a defective unit or what is going on but the phone is not even a month in use and I am already missing the free samsung A20 my service provider gave me for switching over. Other than that phone looks decent and it's pretty well built looks like it can take a good drop better quality than iphone other than the **** phone freezing when I play a video or browse the web . I have never had a phone be this slow right off the box . It's supposed to be a 2020 phone but as mentioned my older samsung A20 I received for free never ever froze on me . I am now in the market for a different phone I tried to give motorola a shot but sadly say not what I expected . I hope I received a defective unit and someone else does not have this problem this is insane for a quite expensive phone
Good Device for the Price of $499 USD + taxes,Eric G,"April 30, 2021",4.0,,,"I've used many Motorola devices before. As a matter of fact, it was my first Android phone after giving up on the iPhone (I was using Motorola Atrix 4G -- one of the 1st to have 4G, a physical fingerprint scanner and Corning Gorilla Glass).LIKES:*Price: $499 USD + taxes (as of April 2021)*1080p 90 Hz curved ""waterfall"" screen*HDR 10 support*Great battery life. Lasts me about 1-1/2 days*Triple camera setup + TOF 3D depth sensor(64 MP wide, 16 MP ultra wide, 8 MP telephoto)*Selfie camera 25 MP can handle Ultra wide + 2x telephoto shots*5G unlocked version works with all GSM carriers ATT, T-Mobile, etc. But only 4G LTE on CDMA such as Boost, etc.*Does NOT support Verizon's 5G UltraWide Band; only 5G Nationwide / 4G LTE CBRS*Expandable storage thru MicroSD card*Taller form factor makes it easier to hold in one hand (at least for me)*FM radio (I know! Even if you never use it)*Headphone jack*Close to Stock Android software, similar to Google Pixel's.GRIPES:(being mindful of its ""budget"" price)*Cameras takes average photos. Night Sight and Portrait View captures is not as sharp. Perhaps a software update will fix it. In contrast, Macro shots are better than expected.*The screen bleeds a bit towards its curved waterfall design; but can be turned off to have a flatter view. It's not as well implemented as Xiaomi's, Samsung's, Vivo's, Oppo's or Huawei's similar curved OLED screens.*Optical Fingerprint scanner is hit or miss. I substituted it for Face Recognition which proves faster with decent lighting.*Stereo speakers are mediocre. Perhaps software update needed for calibration.*18 Watt Turbo Charging is okay, though I wish it was 25 Watt or above.*No Qi Wireless charging (again look at price)*5G only supports sub6 GHz on GSM carriers.*Limited to 4G LTE when using Verizon as carrier (the more expensive Edge+ supports Verizon's 5G mmWave)*The back is a fingerprint magnet.Overall, for its price the Motorola Edge 5G is a great buy for someone looking for an everyday phone that just works. It's Snapdragon 765G processor is reliable and really power efficient especially with 5G, dual-band WiFi AC and Bluetooth 5.1 constantly being on."
